"ID","TABLE_HCODE","TABLE_ENAME","IS_DISPLAY","COLUMN_ENAME","COLUMN_CNAME","DISPLAY_ALIAS","COLUMN_TYPE","COLUMN_CATEGORY","COLUMN_NULLABLE","COLUMN_DESC","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
1,"1",SecuMain,1,ID,ID,,bigint,,否,"",,,1,,"2024-06-06 17:48:06",,"2024-06-06 17:48:06"
2,"1",SecuMain,1,InnerCode,证券内部编码,,int,,否,"",,,1,,"2024-06-06 17:48:06",,"2024-06-06 17:48:06"
3,"1",SecuMain,1,CompanyCode,公司代码,,int,,"","公司代码(CompanyCode)：当本表SecuCategory IN (8,13)即基金相关时，对应的基金管理人代码可通过本表InnerCode关联MF_FundArchives.InnerCode，取MF_FundArchives.InvestAdvisorCode",,,1,,"2024-06-06 17:48:06",,"2024-06-06 17:48:06"
4,"1",SecuMain,1,SecuCode,证券代码,,varchar(30),,"","",,,1,,"2024-06-06 17:48:06",,"2024-06-06 17:48:06"
5,"1",SecuMain,1,ChiName,中文名称,,varchar(200),,"",这里是公司的全称，例如“美的集团股份有限公司”，在查询时，如果使用该字段，请尽量使用模糊查询 LIKE。,,,1,,"2024-06-06 17:48:06",,"2024-09-03 15:12:42"
6,"1",SecuMain,1,ChiNameAbbr,中文名称缩写,,varchar(100),,"","",,,1,,"2024-06-06 17:48:07",,"2024-06-06 17:48:07"
7,"1",SecuMain,1,EngName,英文名称,,varchar(200),,"","",,,1,,"2024-06-06 17:48:07",,"2024-06-06 17:48:07"
8,"1",SecuMain,1,EngNameAbbr,英文名称缩写,,varchar(50),,"","",,,1,,"2024-06-06 17:48:07",,"2024-06-06 17:48:07"
9,"1",SecuMain,1,SecuAbbr,证券简称,,varchar(100),,"","",,,1,,"2024-06-06 17:48:07",,"2024-06-06 17:48:07"
10,"1",SecuMain,1,ChiSpelling,拼音证券简称,,varchar(50),,"","",,,1,,"2024-06-06 17:48:07",,"2024-06-06 17:48:07"
13,"1",SecuMain,1,SecuMarket,证券市场,,int,,"","证券市场(SecuMarket)与(CT_SystemConst)表中的DM字段关联，令LB = 201 AND DM IN (10,12,13,14,15,16,18,49,50,51,52,54,55,56,57,66,67,68,69,70,71,72,73,75,76,77,78,79,80,81,83,84,85,86,87,88,89,90,93,94,95,96,99,100,101,102,103,104,105,107,161,210,240,280,310,320,630,631,640,641,650,653,654,655,657,658,659,660,661,662,663,664,66302,66303,66305)，得到证券市场的具体描述：10-上海期货交易所，12-中国银行间外汇市场，13-大连商品交易所，14-上海黄金交易所，15-郑州商品交易所，16-上海票据交易所，18-北京证券交易所，49-澳大利亚证券交易所，50-新西兰证券交易所，51-中国金融期货交易所，52-埃及开罗及亚历山大证券交易所，54-阿根廷布宜诺斯艾利斯证券交易所，55-巴西圣保罗证券交易所，56-墨西哥证券交易所，57-马来西亚吉隆坡证券交易所，66-泰国证券交易所，67-韩国首尔证券交易所，68-东京证券交易所，69-新加坡证券交易所，70-台湾证券交易所，71-柜台交易市场，72-香港联交所，73-一级市场，75-亚洲其他交易所，76-美国证券交易所，77-美国纳斯达克证券交易所，78-纽约证券交易所，79-美国其他交易市场，80-加拿大多伦多证券交易所，81-三板市场，83-上海证券交易所，84-其他市场，85-伦敦证券交易所，86-法国巴黎证券交易所，87-德国法兰克福证券交易所，88-欧洲其他交易所，89-银行间债券市场，90-深圳证券交易所，93-上海银行间同业拆借市场，94-瑞士证券交易所，95-荷兰阿姆斯特丹证券交易所，96-约翰内斯堡证券交易所，99-东京同业拆借市场，100-美国国债回购市场，101-伦敦银行同业拆借市场，102-香港银行同业拆借市场，103-新加坡银行同业拆借市场，104-中国银行同业拆借市场，105-欧元银行同业拆借市场，107-雅加达证券交易所，161-意大利证券交易所，210-印度国家证券交易所，240-西班牙马德里证券交易所，280-菲律宾证券交易所，310-机构间私募产品报价与服务系统，320-俄罗斯莫斯科证券交易所，630-沪市代理深市市场，631-沪市代理港交所市场，640-深市代理沪市市场，641-深市代理港交所市场，650-国际外汇市场(晨星)，653-上海环境能源交易所，654-北京绿色交易所，655-天津碳排放权交易中心，657-湖北碳排放权交易中心，658-重庆碳排放权交易中心，659-四川联合环境交易所，660-广州碳排放权交易所，661-海峡股权交易中心，662-深圳排放权交易所，663-欧洲能源交易所，664-全国碳排放权交易，66302-韩国ETS，66303-加拿大魁北克Cap-and-Trade(CaT)，66305-美国区域温室气体倡议（RGGI）。",,,1,,"2024-06-06 17:49:22",,"2024-06-06 17:49:22"
