"ID","DOMAIN_HCODE","DOMAIN_CNAME","TABLE_HCODE","TABLE_ENAME","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
1,"20601",ETF相关信息,"10050",ETF_LABEL_INFO_CHINA,,,1,,"2024-10-17 15:31:23",,"2025-02-26 15:18:15"
2,"20601",ETF相关信息,"10051",ETF_LABEL_INFO_USA,,,1,,"2024-10-17 15:31:23",,"2025-02-26 15:18:15"
3,"20508",QDII基金产品持仓,"10017",FUND_INDUSTRY_HOLDING_MV_DETAIL_QDII,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
4,"20508",QDII基金产品持仓,"10039",FUND_PORTFOLIO_DETAIL_QDII,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
5,"209",股票标签,"10044",LABEL_INFO,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
6,"209",股票标签,"10045",SECU_LABEL_INFO,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
7,"209",股票标签,"10054",CT_TRACK_DEFINE,,,1,,"2024-10-17 15:31:23",,"2024-10-17 15:31:23"
8,"20507",基金标签,"10020",FUND_LABEL_INFO,,,0,,"2024-10-17 15:31:24",,"2025-03-12 11:25:57"
9,"20507",基金标签,"10021",FUND_LABEL_VALUE_SECTION,,,0,,"2024-10-17 15:31:24",,"2025-03-12 15:28:11"
10,"20507",基金标签,"10022",FUND_LABEL_VALUE_SERIES,,,0,,"2024-10-17 15:31:24",,"2025-03-12 11:25:57"
11,"20507",基金标签,"10047",MUTUAL_FUND_SECTOR,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
12,"20501",基金产品持仓,"10002",FUND_STOCK_CHANGE_Q,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
13,"20501",基金产品持仓,"10003",FUND_STOCK_CHANGE_HY,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
14,"20501",基金产品持仓,"10008",FUND_ASSET_ALLOCATION,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
15,"20501",基金产品持仓,"10013",FUND_INDUSTRY_CHANGE_HY,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
16,"20501",基金产品持仓,"10014",FUND_INDUSTRY_CHANGE_Q,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
17,"20501",基金产品持仓,"10015",FUND_INDUSTRY_HOLDING_MV_DETAIL_HY,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
18,"20501",基金产品持仓,"10016",FUND_INDUSTRY_HOLDING_MV_DETAIL_Q,,,1,,"2024-10-17 15:31:24",,"2024-10-17 15:31:24"
19,"20501",基金产品持仓,"10018",FUND_INDUSTRY_HOLDING_MV_HY,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
20,"20501",基金产品持仓,"10019",FUND_INDUSTRY_HOLDING_MV_Q,,,1,,"2024-10-17 15:31:25",,"2024-10-17 15:31:25"
