"ID","KNOW_TYPE","OBJECT_HCODE","OBJECT_CNAME","KNOW_ID","KNOW_DESC","KNOW_KEYWORD","SAMPLE_SQL","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
11,GENERAL,,,1,请特别关注每列的单位，在生成SQL的时候，需要校验条件是否和单位匹配。,,,,,1,,"2024-07-26 14:15:05",,"2024-07-28 19:18:52"
12,GENERAL,,,2,对于查询涉及到字符串信息的，尽量使用模糊匹配方式；如果涉及到中文的人名，则请使用完全匹配。,,,,,1,,"2024-07-26 14:15:05",,"2024-08-15 21:59:39"
13,GENERAL,,,3,在计算的时候，请尽量要考虑到 除法需要防止除以零的情况。,,,,,1,,"2024-07-26 14:15:05",,"2024-07-28 19:18:52"
15,GENERAL,,,7,请注意所提供的表格中，可能会涵盖较多的NULL行，因此在使用WHERE条件的时候，请尽量添加去除NULL的条件。,,,,,1,,"2024-07-26 14:15:05",,"2024-11-05 13:19:44"
17,DOMAIN,"",主板财务,3,如果没有明确约定问题的时间段，请优先以当前时间截面，即2024年8月28日为基准，向前向后推算。,,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:41"
18,DOMAIN,"",主板财务,4,请注意考虑同比、环比表述，如果没有特别指明，默认同比。请特别注意：“同环比”指，同时考虑同比和环比。,,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:41"
19,DOMAIN,"",主板基本信息,5,"如果询问特定地区的上市公司有哪些，如果没有字段涉及到明确的城市，那么可以考虑从""公司办公地址""中检查是否包含城市字段。",,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:40"
20,DOMAIN,"",主板基本信息,6,"该问题可能涉及到申万X级行业，X级行业名称为""XXXX"";",,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:40"
21,DOMAIN,"",主板基本信息,7,如果涉及到行业计算，但是问题没有明确指明哪个行业的，请优先考虑申万一级行业，如果做比较的话，请优先考虑均值。,,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:40"
53,DOMAIN_CLS,,个股相关,1,如果问题中没有特别指出“科创板”，同时解析出的股票信息中不包含“科创板”的时候，请优先考虑“主板”对应的表格。,,,,,1,,"2024-06-13 15:29:55",,"2024-10-17 17:47:12"
55,DOMAIN_CLS,,基金相关,3,"如果询问基金的持仓、重仓情况，请优先考虑""基金投资组合""",,,,,1,,"2024-06-13 15:29:55",,"2024-08-21 16:42:41"
