stockName,industryName
赛伯乐国际控股,社会服务
西王置业,房地产
金至尊集团,有色金属
银河娱乐,社会服务
易通讯集团,通信
迅捷环球控股,环保
天宝集团,农林牧渔
鼎亿集团投资,非银金融
深圳控股,房地产
国美金融科技,计算机
广汇宝信,汽车
谢瑞麟,美容护理
先机企业集团,计算机
人和科技,计算机
荣智控股,电子
仁恒实业控股,房地产
AV策划推广,传媒
潼关黄金,有色金属
中国金茂,房地产
中电华大科技,电子
吉利汽车,汽车
和记电讯香港,通信
中国再生能源投资,环保
透云生物,医药生物
中电控股,公用事业
新明中国,食品饮料
南顺(香港),轻工制造
华控康泰,医药生物
中国光大银行,银行
港华智慧能源,公用事业
中生北控生物科技,医药生物
永嘉集团,房地产
中国口腔产业,医药生物
金川国际,有色金属
爪哇控股,通信
瑞强集团,机械设备
万民好物,商贸零售
三生制药,医药生物
新耀莱,食品饮料
大湾区聚变力量,电力设备
北方矿业,有色金属
励晶太平洋,电子
西部水泥,建筑材料
兴铭控股,商贸零售
中泰期货,非银金融
比高集团,家用电器
长城微光,电子
华盛国际控股,社会服务
国农金融投资,非银金融
弘毅文化集团,社会服务
ATLINKS,通信
丽珠医药,医药生物
兴业合金,有色金属
神州控股,计算机
大家乐集团,社会服务
俊裕地基,建筑装饰
新世界发展,房地产
滨海泰达物流,交通运输
朝威控股,建筑材料
灵宝黄金,有色金属
大昌微线集团,电子
万成集团股份,轻工制造
中国石油化工股份,石油石化
中国中铁,建筑装饰
长盈集团(控股),商贸零售
珠光控股,房地产
华润医疗,医药生物
仁德资源,有色金属
中华国际,社会服务
中国罕王,有色金属
南戈壁,有色金属
飞霓控股,电子
畅由联盟,通信
时计宝,非银金融
中国铝罐,有色金属
剑虹集团控股,纺织服饰
九台农商银行,银行
ECI TECH,计算机
中银航空租赁,非银金融
绿色经济,建筑装饰
中国金属利用,有色金属
九兴控股,纺织服饰
世纪阳光,电力设备
好孩子国际,商贸零售
新龙移动,通信
江苏宁沪高速公路,交通运输
网龙,传媒
中国上城,房地产
华油能源,石油石化
阜博集团,传媒
兴利(香港)控股,汽车
资本界金控,非银金融
长安民生物流,交通运输
世界(集团),商贸零售
中国前沿科技集团,社会服务
荣晖国际,商贸零售
康华医疗,医药生物
稻香控股,食品饮料
华宝国际,基础化工
中国新城市,房地产
璋利国际,汽车
中国健康科技集团,医药生物
品创控股,计算机
时代环球集团,环保
完美医疗,医药生物
海螺水泥,建筑材料
郑煤机,机械设备
APOLLO出行,纺织服饰
中国投融资,非银金融
NATIONAL ELEC H,电子
大悦城地产,房地产
万成环球控股,环保
百能国际能源,石油石化
易纬集团,电子
御德国际控股,医药生物
IMAX CHINA,传媒
亚洲电视控股,传媒
中国医疗集团,医药生物
瑞丰动力,电力设备
礼建德集团,机械设备
正乾金融控股,非银金融
中国财险,非银金融
智云国际控股,纺织服饰
国富创新,电子
美联集团,美容护理
泛海集团,交通运输
信保环球控股,非银金融
中国波顿,汽车
百福控股,食品饮料
联想集团,计算机
饮食天王(环球),食品饮料
阿仕特朗金融,非银金融
中国黄金国际,有色金属
亚势备份,计算机
光尚文化控股,传媒
雅居投资控股,房地产
金涌投资,非银金融
汉港控股,房地产
科劲国际,机械设备
BRILLIANCE CHI,汽车
绿城中国,房地产
泰凌医药,医药生物
恒投证券,非银金融
时代中国控股,房地产
MAYER HOLDINGS,商贸零售
新确科技,计算机
龙源电力,公用事业
北京汽车,汽车
亚积邦租赁,非银金融
宝业集团,房地产
ALCO HOLDINGS,家用电器
海通证券,非银金融
同方泰德,计算机
叶氏化工集团,基础化工
中泽丰,非银金融
中国长远,公用事业
濠亮环球,环保
金力集团,有色金属
东方汇财证券,非银金融
汇丰控股,银行
世纪娱乐国际,传媒
金界控股,社会服务
绿叶制药,医药生物
开源控股,通信
REF HOLDINGS,传媒
中国金典集团,纺织服饰
远东宏信,非银金融
财华社集团,传媒
中国银行,银行
新百利融资,非银金融
国药科技股份,医药生物
富力地产,房地产
中薇金融,非银金融
安保工程控股,建筑装饰
绿领控股,环保
大唐新能源,公用事业
AV CONCEPT HOLD,通信
星岛,传媒
TOM集团,传媒
吉盛集团控股,商贸零售
卡姆丹克太阳能,电力设备
国药控股,医药生物
自动系统,计算机
中电光谷,电子
中基长寿科学,医药生物
联康生物科技集团,医药生物
生活概念,社会服务
怡邦行控股,轻工制造
徽商银行,银行
致浩达控股,电子
万国国际矿业,有色金属
华津国际控股,非银金融
天安,房地产
电讯数码控股,通信
首佳科技,电子
积木集团,轻工制造
远洋集团,房地产
融创中国,房地产
长飞光纤光缆,通信
中国铝业,有色金属
福田实业,轻工制造
恒安国际,美容护理
中油燃气,公用事业
协鑫新能源,公用事业
南南资源,煤炭
亚太金融投资,银行
康哲药业,医药生物
易生活控股,商贸零售
味丹国际,食品饮料
爱得威建设集团,建筑装饰
中国华君,建筑材料
中国银河,非银金融
宇华教育,社会服务
通达集团,电子
辰罡科技,电子
电能实业,公用事业
爱达利网络,通信
建业地产,房地产
集一控股,汽车
保德国际发展,房地产
融信中国,房地产
新华汇富金融,非银金融
超盈国际控股,纺织服饰
协鑫科技,电力设备
中国航天万源,国防军工
贸易通,通信
首控集团,汽车
中国奥园,房地产
东江环保,环保
正业国际,轻工制造
慧聪集团,商贸零售
冠军科技集团,计算机
佰悦集团,商贸零售
海天国际,机械设备
万洲国际,食品饮料
伟禄集团,轻工制造
联洋智能控股,通信
弘和仁爱医疗,医药生物
中国燃气,公用事业
KFM金德,基础化工
开达集团,汽车
金源发展国际实业,轻工制造
太平洋网络,通信
安莉芳控股,纺织服饰
米格国际控股,医药生物
