stockName,industryName
BAIYU Holdings,房地产
Abits Group Inc.,计算机
"Cheer Holding, Inc.",商贸零售
Prospect Energy Holdings Corp.,石油石化
Net Lease Office Properties,房地产
NCR Corp.,计算机
Agape ATP Corp.,医药生物
Kolibri Global Energy Inc,石油石化
Lithium Americas Corp.,有色金属
Birkenstock Holding Ltd.,纺织服饰
车车集团,汽车
Aris Mining Corp,有色金属
"FitLife Brands, Inc.",医药生物
VS Media Holdings Limited Class A,传媒
Maplebear Inc.,商贸零售
Healthy Green Group Holding Limited,食品饮料
"Klaviyo, Inc. Class A",计算机
"Neumora Therapeutics, Inc.",医药生物
"RayzeBio, Inc.",医药生物
"TKO Group Holdings, Inc.",轻工制造
99 Acquisition Group Inc. Class A,非银金融
10x Capital Venture Acquisition Corp. III Class A,非银金融
10X Capital Venture Acquisition Corp. III,非银金融
"Falcon's Beyond Global, Inc. Class A",社会服务
Boqii Holding Ltd. Sponsored ADR Class A,商贸零售
Nvni Group Limited,计算机
NKGen Biotech Inc.,医药生物
Lithium Americas (Argentina) Corp.,有色金属
"NCR Atleos, LLC",计算机
Syra Health Corp. Class A,医药生物
Globavend Holdings Ltd.,商贸零售
"DoorDash, Inc. Class A",商贸零售
Global Lights Acquisition Corp,非银金融
Hainan Sirius Acquisition Corp.,非银金融
CRH public limited company,建筑材料
Anglogold Ashanti PLC,有色金属
"Cooper Companies, Inc.",医药生物
Northann Corp.,交通运输
Global Engine Group Holding Limited,汽车
Haymaker Acquisition Corporation 4 Class A,非银金融
Keen Vision Acquisition Corporation,非银金融
WK Kellogg Co,食品饮料
"Turbo Energy, S.A. Sponsored ADR",电力设备
Safe and Green Development Corporation,环保
CDP Holdings Ltd.,计算机
Quetta Acquisition Corp.,非银金融
American Battery Technology Co.,电子
"Inpoint Commercial Real Estate Income, Inc. Class D",房地产
"Inpoint Commercial Real Estate Income, Inc. Class I",房地产
"Inpoint Commercial Real Estate Income, Inc. Class T",房地产
"Central Plains Bancshares, Inc.",银行
ARM Holdings PLC ADR,计算机
Nabors Energy Transition Corp. II Class A,石油石化
Almacenes Exito SA TEMP,商贸零售
Amerant Bancorp Inc. Class A,银行
Mobile Infrastructure Corp Class A,通信
大自然林业,农林牧渔
Simpple Ltd.,计算机
"First Foundation, Inc.",银行
Bukit Jalil Global Acquisition 1 Ltd.,非银金融
Sezzle Inc.,非银金融
RoyaLand Company Ltd Class B,房地产
Bowen Acquisition Corp,非银金融
"Inspire Veterinary Partners, Inc. Class A",社会服务
阿诺医药,医药生物
VinFast Auto Ltd.,汽车
华赢控股,房地产
LQR House Inc.,商贸零售
"NB Bancorp, Inc.",银行
Foremost Lithium Resource & Technology Ltd,有色金属
"Sacks Parente Golf, Inc.",轻工制造
Liberty Media Corp. Series A Liberty Live,传媒
Liberty Media Corp. Series C Liberty Live,传媒
Quantum Fintech Acquisition Corp.,非银金融
"Vitro Biopharma, Inc.",医药生物
"MIRA Pharmaceuticals, Inc.",医药生物
"BV Financial, Inc.",银行
"MDB Capital Holdings, LLC Class A",非银金融
"Cheetah Net Supply Chain Service, Inc. Class A",商贸零售
"Earlyworks Co., Ltd. Sponsored ADR",计算机
"Pixie Dust Technologies, Inc. Sponsored ADR",电子
"SR Bancorp, Inc.",银行
"AEON Biopharma, Inc. Class A",医药生物
"AEON Biopharma, Inc.",医药生物
Athena Technology Acquisition Corp. II Class A,非银金融
Athena Technology Acquisition Corp. II,非银金融
ESH Acquisition Corp. Class A,非银金融
BioNexus Gene Lab Corp,医药生物
Atlanta Braves Holdings Inc Class A,传媒
Atlanta Braves Holdings Inc Class C,传媒
Turnstone Biologics Corp.,医药生物
Complete Solaria Inc,公用事业
"Complete Solaria, Inc.",公用事业
Inflection Point Acquisition Corp. II Class A,非银金融
"Apogee Therapeutics, Inc.",医药生物
ODDITY Tech Ltd. Class A,计算机
"SharkNinja, Inc.",家用电器
Electrovaya Inc.,电子
"Pineapple Financial, Inc.",非银金融
"SRM Entertainment, Inc.",传媒
凯德工程,机械设备
"Surf Air Mobility, Inc.",交通运输
Corporacion Inmobiliaria Vesta S.A.B. de C.V. ADR,房地产
Alliance Entertainment Holding Corp Class A,传媒
"Kartoon Studios, Inc.",传媒
Alchemy Investments Acquisition Corp 1 Class A,非银金融
"Kodiak Gas Services, Inc.",石油石化
堂堂加,食品饮料
"Ramaco Resources, Inc.",煤炭
Argo集团国际控股,非银金融
Fidelis Insurance Holdings Ltd.,非银金融
Black Spade Acquisition Co. Class A,非银金融
"GEN Restaurant Group, Inc. Class A",食品饮料
C3is Inc.,计算机
Fortrea Holdings Inc.,商贸零售
Indivior PLC,医药生物
EVe Mobility Acquisition Corp. Class A,汽车
Webuy Global Ltd.,商贸零售
Ares Acquisition Corporation II Class A,非银金融
"CAVA Group, Inc.",食品饮料
"Fiserv, Inc.",计算机
BranchOut Food Inc.,食品饮料
Lafayette Energy Corp.,石油石化
51Talk,计算机
"60 Degrees Pharmaceuticals, Inc.",医药生物
Bowen Acquisition Corp Units Cons of 1 Sh + 1 Rt,非银金融
ATS Corporation,机械设备
OKYO Pharma Limited,医药生物
SEALSQ Corp,计算机
"Equity Bancshares, Inc. Class A",银行
"Origin Bancorp, Inc.",银行
Monogram Orthopaedics Inc,医药生物
Oak Woods Acquisition Corporation Class A,非银金融
Southern California Bancorp,银行
Four Leaf Acquisition Corporation Class A,非银金融
"Hanryu Holdings, Inc.",传媒
Knife River Corporation,建筑材料
Azitra Inc,医药生物
哥伦比亚广播-B When Distributed,传媒
PIMCO California Municipal Income Fund,非银金融
Pimco California Municipal Income Fund II,非银金融
